Order ID,Product,Category,Amount,Date,Country
1,Carrots,Vegetables,4270.00,06/01/2012,United States
2,Broccoli,Vegetables,8239.00,07/01/2012,United Kingdom
3,Banana,Fruit,617.00,08/01/2012,United States
4,Banana,Fruit,8384.00,10/01/2012,Canada
5,Beans,Vegetables,2626.00,10/01/2012,Germany
6,Orange,Fruit,3610.00,11/01/2012,United States
7,Broccoli,Vegetables,9062.00,11/01/2012,Australia
8,Banana,Fruit,6906.00,16/01/2012,New Zealand
9,Apple,Fruit,2417.00,16/01/2012,France
10,Apple,Fruit,7431.00,16/01/2012,Canada
11,Banana,Fruit,8250.00,16/01/2012,Germany
12,Broccoli,Vegetables,7012.00,18/01/2012,United States
13,Carrots,Vegetables,1903.00,20/01/2012,Germany
14,Broccoli,Vegetables,2824.00,22/01/2012,Canada
15,Apple,Fruit,6946.00,24/01/2012,France
16,Banana,Fruit,2320.00,27/01/2012,United Kingdom
17,Banana,Fruit,2116.00,28/01/2012,United States
18,Banana,Fruit,1135.00,30/01/2012,United Kingdom
19,Broccoli,Vegetables,3595.00,30/01/2012,United Kingdom
20,Apple,Fruit,1161.00,02/02/2012,United States
21,Orange,Fruit,2256.00,04/02/2012,France
22,Banana,Fruit,1004.00,11/02/2012,New Zealand
23,Banana,Fruit,3642.00,14/02/2012,Canada
24,Banana,Fruit,4582.00,17/02/2012,United States
25,Beans,Vegetables,3559.00,17/02/2012,United Kingdom
26,Carrots,Vegetables,5154.00,17/02/2012,Australia
27,Mango,Fruit,7388.00,18/02/2012,France
28,Beans,Vegetables,7163.00,18/02/2012,United States
29,Beans,Vegetables,5101.00,20/02/2012,Germany
30,Apple,Fruit,7602.00,21/02/2012,France
31,Mango,Fruit,1641.00,22/02/2012,United States
32,Apple,Fruit,8892.00,23/02/2012,Australia
33,Apple,Fruit,2060.00,29/02/2012,France
34,Broccoli,Vegetables,1557.00,29/02/2012,Germany
35,Apple,Fruit,6509.00,01/03/2012,France
36,Apple,Fruit,5718.00,04/03/2012,Australia
37,Apple,Fruit,7655.00,05/03/2012,United States
38,Carrots,Vegetables,9116.00,05/03/2012,United Kingdom
39,Banana,Fruit,2795.00,15/03/2012,United States
40,Banana,Fruit,5084.00,15/03/2012,United States
41,Carrots,Vegetables,8941.00,15/03/2012,United Kingdom
42,Broccoli,Vegetables,5341.00,16/03/2012,France
43,Banana,Fruit,135.00,19/03/2012,Canada
44,Banana,Fruit,9400.00,19/03/2012,Australia
45,Beans,Vegetables,6045.00,21/03/2012,Germany
46,Apple,Fruit,5820.00,22/03/2012,New Zealand
47,Orange,Fruit,8887.00,23/03/2012,Germany
48,Orange,Fruit,6982.00,24/03/2012,United States
49,Banana,Fruit,4029.00,26/03/2012,Australia
50,Carrots,Vegetables,3665.00,26/03/2012,Germany
51,Banana,Fruit,4781.00,29/03/2012,France
52,Mango,Fruit,3663.00,30/03/2012,Australia
53,Apple,Fruit,6331.00,01/04/2012,France
54,Apple,Fruit,4364.00,01/04/2012,Canada
55,Carrots,Vegetables,607.00,03/04/2012,United Kingdom
56,Banana,Fruit,1054.00,06/04/2012,New Zealand
57,Carrots,Vegetables,7659.00,06/04/2012,United States
58,Broccoli,Vegetables,277.00,12/04/2012,Germany
59,Banana,Fruit,235.00,17/04/2012,United States
60,Orange,Fruit,1113.00,18/04/2012,Australia
61,Apple,Fruit,1128.00,21/04/2012,United States
62,Broccoli,Vegetables,9231.00,22/04/2012,Canada
63,Banana,Fruit,4387.00,23/04/2012,United States
64,Apple,Fruit,2763.00,25/04/2012,Canada
65,Banana,Fruit,7898.00,27/04/2012,United Kingdom
66,Banana,Fruit,2427.00,30/04/2012,France
67,Banana,Fruit,8663.00,01/05/2012,New Zealand
68,Carrots,Vegetables,2789.00,01/05/2012,Germany
69,Banana,Fruit,4054.00,02/05/2012,United States
70,Mango,Fruit,2262.00,02/05/2012,United States
71,Mango,Fruit,5600.00,02/05/2012,United Kingdom
72,Banana,Fruit,5787.00,03/05/2012,United States
73,Orange,Fruit,6295.00,03/05/2012,Canada
74,Banana,Fruit,474.00,05/05/2012,Germany
75,Apple,Fruit,4325.00,05/05/2012,France
